First like button vijay setupati fans	unknown_state
Vetri ne dhanusha pudiche thongitu iru....	Positive
Ithu romba naal ku munnadi Short film'a pathathu! (Short film name: Kekka bukka kekka bukka)Short film'e Super'a irrukum!	Positive
Trending no1 in srilanka.... june 16	Positive
Maja thala marana  mass thala	Positive
Thala thala thala solla vaarthtai illai	Positive
Jayam Ravi thalaivar kitta bagiranga mannippu kekkalanna indha padatha purakkanippom Twitter hashtag pathingala thalaivar fans power Ra Boycot comali	Positive
Padam asuran madhiri oduna na motta adichikuren	Mixed_feelings
Semma trailer super surya fans like	unknown_state
Surya is super Surya fans like adikku makkaallleeee	Positive
mammokka hero da always will be a hero	not-Tamil
94K likes for 300K likes less then 3hrs	unknown_state
KANGNA AUNTY AB SHAADI KARLO...	not-Tamil
mokka bhairava teaser ela but naa suriya fan taan	Positive
enuku visuvasam padatha pathatha parithavama iruku..	Negative
Surya Ku love seen irukadhu polaiyee🤔🤔🤔🤔	Negative
Ayoo vanthuruvanga Ithu like panu athuku like panu nu 🤐🤐	Negative
WHO ALL R WAITING FOR 1 MILLION LIKES	Positive
Pakistani movi na indian movi ka record tor dia salman khan b hairan open link	Negative
Marana Massssss..... Love you Thalaiva.	Positive
விளையாடிட்டு பொழுது போறதுக்குள்ள வீட்டுக்கு சீக்கிரம் வந்துருப்பானு அம்மா சொல்லுவாங்க. எதுக்கு சொன்னாங்கனு JADA TRAILER பாக்கும்போது தெரியுது.	Positive
Tevidiya pasanga naxalite ku support panranunga	Negative
NGK Teaser marana mass.....padam vera levela irrukka pogudhu....	Positive
Thala ne va thala unakaga naanga irukom thala... thaa thala vararu oram ponga da...	Positive
You like natpe thunai like and message murruku comment	unknown_state
Super .... star...  chitti ..... rockzz....	Positive
Anbu ezhuchi ithula thodanguthu da Marana waiting	Positive
Vaasu yaar adhu aiyo namma mind shruthi hassan pakkam podhe	Positive
ஆயுத எழுத்தில் ரத்த சரித்திரம் வரைந்த இந்த நந்த கோபாலன் குமரன் சாதிப்பான்... இப்படிக்கு உழைப்பாளர் தின நாயகன் ரசிகன்	Positive
முதல்ல சாதிய உயர்த்தி படம் எடுக்கரவனையும் சாதிய ஒழிக்குரேனு சொல்லி படம் எடுக்கரவனையும் உதைக்கனும்  அப்புறம் இந்த ஜாதி ஒழிப்பு மேல் ஜாதிக்காரன் வீட்டு பொண்ன கட்டி உறவுக்காரன் ஆனாதா முடியும் சொல்லித்தரவன செருப்பால் அடிக்கனும் ஜாதி ஒழிப்புங்கரது கீழ இருக்கரவன் அவனுக்கு சமமாத்தான் வரனுமே தவிர அவனாகுரது இல்லை  அவனுக்கே சமமா கல்வி வேலைவாய்ப்பு பொருளாதாரத்துல முன்னேரதுதான் அப்படி முன்னேறிட்ட அவன் உனக்கு செஞ்சத நீ அவனுக்கு செய்யாத காரணம் உனக்கு வலிச்ச மாதிரிதான் அவனுக்கும் வலிக்கும்  ஆனால் கடந்தகால ஜாதி ஒழிப்புங்கரது தவறா கற்ப்பிக்கப்பட்டதின் விளைவே இன்றைய நவீன ஜாதி வெறியின் மூலக்காரணம்	unknown_state
797K left for 14M views	unknown_state
Love  from tovino Thomas fanzz  kochii. . Kerala ..	not-Tamil
viswasam Ku irundha opening iduku illa y🤔.still only 10 M.viswasam trailer 14 M in one day.edo onu miss aavudu	Positive
0.42 bgm vera level gvp.....Vetri maaran no words	Positive
ajith style ke and avaroda hard work ke 5 times paakalam	Positive
naanum thala rasikan thaan aana intha padam sema mokkaiyathaan irukkum naan intha padaa thha paaka theatrekke pogamatten mokkaiya irukkum	#&#*'&#(#&@	Negative
Vera vera vera level thala top takker	Positive
Rajini arasiyaluku varuvathu uruthi ..Marana pangam	Positive
695 k likes reached aairuku  pangalingala adichi thookalamaa	Positive
அவுங்கவுங்க வீட்டு பொண்ணு அவுங்கவுங்க வீட்டுக்கு முக்கியம் அதுக்காக எந்த எல்லைக்கு போகலாம் திரெளபதி திரைப்படம் வெற்றி பெற வாழ்த்துக்கள்...	Positive
இதோ நீங்கள் தேடிக்கொண்டுள்ள தமிழ் Comment 🤗	unknown_state
இந்த படம் மிகப்பெரிய வெற்றிபெரும். குடும்பம் குடும்பமாக சென்று பார்க்க வேண்டிய படம்.பெரும் வெற்றி பெறும், பெறவைப்போம்.	Positive
Rayam Ravi mathiri vanthu nippanu partha Nizhalgal Ravi mathiri vanthu nikkura.	Negative
Twitter pathutu nera inga vanthavangala like my comment	Positive
k harsha sry but antha rajesh punda avanku ena payriya pundanu naynapa thayoli	Negative
Yaru Yaru September la parka varinga oru like podunga	Positive
Thalaivaaaaaaaaaa  yangal thanga thalaiva thala I love you	Positive
Eppa ethuku evulo dislike ? Poramaiya ?	Positive
0:12 she looks like Taiwan tzuyi	Mixed_feelings
Jayam ravi epdi ji ongaluku mattum ipdilam story amayuthu.. Padam vetri pera vaalthukal..  To director also.	Positive
##படம் 100 நாள் ஓடனும்...திருமாவளவன் மாதிரி கீழ்தரமானவன கொடூரமா கொல்லனும்....	Positive
frst like thalaivaaaa i love u surya anna	unknown_state
Phoenix Thala in NKPku marana waiting  Agust 10 therika vuduranda	Mixed_feelings
Annnnnnaaaaa..... Vera lvl Anna...bst wishes for film.	Positive
Kolai konda parvai    thala thaladan	Negative
Supar dupar hero am big fan Vikram sir	Positive
பாண்டிய வண்ணார் இனத்தின் சார்பாக படம் வெற்றியடைய வாழ்த்துகள்	Positive
It looks like a grand flim	Positive
Super picture bro... Naadaka kathal kumpalukku sariyaana seruppadi picture... Ponna thottavan evanaa irunthaalum vitavey koodathu...	Positive
படத்த படமா பாருங்கடா....சாதி கூ*னு எங்க இருந்துடா‌ தூக்கிட்டு வர்றிங்க...	Mixed_feelings
Off aahi aahi oru editing ah... Ushabhaaaaaa daiii.....	Negative
Amazing trailer hoping for more likes	Positive
Hit like for           Surya	unknown_state
hahahaha. padam vera lvl la vara pothu thalaiva	Positive
189ஆயிறம் லைக் போட்டவன் பிற்படுத்தபட்ட சமுதாயத்தை சார்ந்தவன்	Positive
Ilayaraja stoled Beethoven notes ivaru thirudina thappu Illa unakku vantha ratham aduthavanuku thakkali chutney	Negative
kola pasila irukan kollama vidamatan thalaivaaa	Positive
திரெளபதி படம் மாபெரும் வெற்றிப்படமாக அமைய வாழ்த்துக்கள் அனைத்து சமுதாய மக்களுக்கும் நாடகக் காதல் பலன் முகத்திரையை கிழிக்கும் படமாக நிச்சயம் அமையும் வாழ்த்துக்கள்	Positive
Vaarevaa...pakkah concept....waiting for this kalakkal package	Positive
Womale    ebah dei thala	Mixed_feelings
பொள்ளாட்ச்சி பசங்க  பொன்னுங்கள தொட்ட சூத்த மூடிக்கிட்டு இருப்போம் யாரவது ஏமாந்தவன் கெடச்ச வீரத்த காமிப்போம்.....	Negative
vijay sethupathi & aravind swami	unknown_state
Dai oru time sense illa first 6pm ippo	Positive
Body language laam thirumalai time vijay maari irukku. he's looking more slim & young, nice!	Positive
sweet laam pathathu pongale vachiruvom va	Positive
Bigil movie trailerku 240k dislike podanum unmaiyana thala fans and bloods	Positive
Pink movie remake..in tamil...ajith sir masss	Positive
ஆதங்கப்பட்ட அனைத்து மக்களுக்கும் ஆறுதல் சொல்லும் அற்புதமான திரைப்படம் இத்திரைப்படம் வெற்றியடைய வாழ்த்துக்கள்	Positive
இந்த படத்துக்கு ஃபர்ஸ்ட் டே ஃபர்ஸ்ட் ஷோ போறோம்	Positive
100 K mass ku elam Bossu	Positive
Unaku yaravathu palya frnds irukagala  nambatha...suprb	unknown_state
Daily 25 time pathalum puthusa pakura mathiri than irukku. Thala acting yuvan music sema	Positive
Ean selaula all frands kuptu povanga...	Positive
super star ilayathalabathi Vijay da naanga ellam chellama thalaivaaaaa innu solluoom thalaivaaaaa ne vanda le podum idale ne tesrrrr theri	Positive
1 hr la 400 k+ like	Positive
Vijay semma mass da nee oru pida	Positive
